sampleID,longitude,latitude,bio12,bio1,et0_v3_yr,ai_v3_yr
"10714",140.6958,-34.0597,266.00000,17.55267,2208.00000,1204.00000
"10716",140.7354,-34.05624,266.00000,17.58800,2200.00000,1213.00000
"10718",140.7064,-34.03715,264.00000,17.61733,2214.00000,1192.00000
"10720",140.719,-33.9556,270.00000,17.46267,2204.00000,1233.00000
"12424",148.3395,-42.1074,727.00000,12.64583,1218.00000,5883.00000
"12426",148.340808,-42.106246,727.00000,12.64583,1218.00000,5883.00000
"12428",148.336683,-42.105769,727.00000,12.64583,1218.00000,5883.00000
"12430",148.2641,-42.1685,698.00000,12.57833,,0.00000
"12432",148.2791,-42.1738,698.00000,12.57833,1198.00000,5833.00000
"12438",148.3021,-42.0578,722.00000,12.63229,,0.00000
"12446",146.625,-42.6735,1396.00000,7.21600,856.00000,17466.00000
"12447",146.6711,-42.6793,1105.00000,9.37217,980.00000,13055.00000
"12459",148.798917,-35.423567,1010.00000,10.14133,1256.00000,8020.00000
"12461",148.797583,-35.423733,1010.00000,10.14133,1256.00000,8020.00000
"12463",148.797883,-35.423883,1010.00000,10.14133,1256.00000,8020.00000
"12465",148.79855,-35.4214,1010.00000,10.14133,1256.00000,8020.00000
"12467",148.79595,-35.42375,1010.00000,10.14133,1256.00000,8020.00000
"12469",148.7968,-35.4235,1010.00000,10.14133,1256.00000,8020.00000
"12471",148.797167,-35.423867,1010.00000,10.14133,1256.00000,8020.00000
"12473",148.796767,-35.42325,1010.00000,10.14133,1256.00000,8020.00000
"12475",148.796583,-35.42385,1010.00000,10.14133,1256.00000,8020.00000
"12477",148.7961,-35.422617,1010.00000,10.14133,1256.00000,8020.00000
"12479",148.796383,-35.423183,1010.00000,10.14133,1256.00000,8020.00000
"12481",142.219292,-32.526047,270.00000,18.48633,2301.00000,1172.00000
"12483",141.898047,-29.055658,230.00000,20.91117,2631.00000,858.00000
"12485",141.352819,-29.035917,193.00000,21.34867,2749.00000,694.00000
"12487",144.111706,-29.945633,289.00000,20.65783,2406.00000,1184.00000
"12489",142.717778,-30.395,223.00000,20.34300,2516.00000,886.00000
"12491",149.0076,-35.881,775.00000,8.96483,1269.00000,5693.00000
"12493",149.0083,-35.8811,775.00000,8.96483,1269.00000,5693.00000
"12495",149.0097,-35.876683,775.00000,8.96483,1267.00000,5719.00000
"12497",149.01025,-35.876933,775.00000,8.96483,1267.00000,5719.00000
"12560",149.0076,-35.881,775.00000,8.96483,1269.00000,5693.00000
"12562",149.0083,-35.8811,775.00000,8.96483,1269.00000,5693.00000
"12564",149.0097,-35.876683,775.00000,8.96483,1267.00000,5719.00000
"12566",149.01025,-35.876933,775.00000,8.96483,1267.00000,5719.00000
"12568",149.01088,-35.874867,735.00000,9.38300,1281.00000,5431.00000
"12570",149.01165,-35.874817,735.00000,9.38300,1281.00000,5431.00000
"12572",149.0076,-35.881,775.00000,8.96483,1269.00000,5693.00000
"12574",149.0083,-35.8811,775.00000,8.96483,1269.00000,5693.00000
"12576",149.0097,-35.876683,775.00000,8.96483,1267.00000,5719.00000
"12578",149.01025,-35.876933,775.00000,8.96483,1267.00000,5719.00000
"12580",149.01088,-35.874867,735.00000,9.38300,1281.00000,5431.00000
"12582",149.01165,-35.874817,735.00000,9.38300,1281.00000,5431.00000
"12816",145.447883,-16.103417,3102.00000,22.73317,1736.00000,20809.00000
"12818",145.447217,-16.102983,3102.00000,22.73317,1736.00000,20809.00000
"12819",145.447883,-16.103417,3102.00000,22.73317,1736.00000,20809.00000
"12824",145.630883,-17.121083,2634.00000,20.53067,1570.00000,15691.00000
"12828",145.61195,-17.1036,2384.00000,19.30817,1505.00000,18845.00000
"12830",145.620217,-17.092083,2384.00000,19.30817,1466.00000,19033.00000
"12834",152.87905,-27.387121,1233.00000,19.30550,1733.00000,6915.00000
"12838",153.083025,-27.632688,1184.00000,20.11300,1796.00000,6663.00000
"12876",135.71916,-14.195246,943.00000,27.22133,2362.00000,3978.00000
"12878",135.20189,-12.93256,1166.00000,26.87500,2115.00000,5529.00000
"12880",135.81029,-12.50916,1178.00000,26.83417,2168.00000,5389.00000
"12882",134.50615,-13.52115,1027.00000,26.97983,2249.00000,4555.00000
"12884",145.029247,-36.673214,581.00000,14.91433,1650.00000,3525.00000
"12891",144.05391,-37.25205,706.00000,12.62067,1477.00000,4533.00000
"12897",140.587564,-34.003639,268.00000,17.38733,2190.00000,1228.00000
"12899",140.351526,-34.098,273.00000,17.21267,2175.00000,1254.00000
"12901",140.728053,-33.971572,265.00000,17.66117,2219.00000,1216.00000
"12903",146.654289,-43.095071,1555.00000,9.82250,1037.00000,13864.00000
"12939",135.77629,-13.40822,1105.00000,27.25433,2278.00000,4844.00000
"13264",143.70582,-40.10732,,,,0.00000
"13268",144.11969,-39.935,1069.00000,13.27417,1153.00000,9254.00000
"13270",144.08213,-39.89271,1036.00000,13.40783,1172.00000,8658.00000
"13729",120.65511,-30.19191,264.00000,18.80850,2489.00000,1068.00000
"13731",120.651731,-30.191581,264.00000,18.80850,2493.00000,1058.00000
"13733",120.642526,-30.191921,264.00000,18.80850,2487.00000,1057.00000
"13735",120.633674,-30.194439,264.00000,18.80850,2487.00000,1065.00000
"138511",142.02097,-35.51706,316.00000,15.88067,1919.00000,1640.00000
"138513",141.33691,-36.56989,474.00000,14.31500,1681.00000,2824.00000
"138515",141.96059,-36.40655,397.00000,15.08633,1805.00000,2232.00000
"138524",147.00798,-41.0368,823.00000,12.79983,1254.00000,6490.00000
"138526",147.061171,-40.999369,789.00000,13.18646,1275.00000,6155.00000
"138528",147.061407,-40.998746,789.00000,13.18646,1275.00000,6155.00000
"138530",147.063393,-40.991764,789.00000,13.18646,1275.00000,6155.00000
"138532",147.00794,-41.036665,823.00000,12.79983,1254.00000,6490.00000
"138534",147.014179,-40.983108,780.00000,13.07269,,0.00000
"138538",147.008853,-41.029754,823.00000,12.79983,1254.00000,6458.00000
"138543",146.992477,-41.03954,767.00000,13.04508,1257.00000,6352.00000
"138545",146.99222,-41.040174,767.00000,13.04508,1257.00000,6352.00000
"138590",136.584113,-14.10286,1146.00000,26.65167,2177.00000,5342.00000
"138594",136.817021,-14.230668,1050.00000,26.88350,2209.00000,4721.00000
"138602",136.4312,-14.0825,1232.00000,26.56688,,0.00000
"138607",136.48076,-13.98342,1225.00000,26.79450,2193.00000,5620.00000
"13906",149.01165,-35.874817,735.00000,9.38300,1281.00000,5431.00000
"14181",147.781349,-24.83835,643.00000,17.59100,2016.00000,3282.00000
"14183",147.521225,-24.853827,634.00000,18.48850,2070.00000,3119.00000
"14185",145.08186,-41.65563,1512.00000,11.87950,1116.00000,13180.00000
"14187",145.09314,-41.58365,1627.00000,11.54650,1086.00000,15669.00000
"19453",150.73733,-33.60963,843.00000,17.33267,1630.00000,5212.00000
"19455",150.73693,-33.61008,843.00000,17.33267,1630.00000,5212.00000
"19457",150.73895,-33.6123,843.00000,17.33267,1630.00000,5212.00000
"19459",150.73795,-33.61292,843.00000,17.33267,1630.00000,5212.00000
"19461",150.73769,-33.6126,843.00000,17.33267,1630.00000,5212.00000
"19463",150.73618,-33.61565,843.00000,17.33267,1630.00000,5212.00000
"19465",150.736,-33.61623,843.00000,17.33267,1630.00000,5212.00000
"19467",150.73612,-33.61745,843.00000,17.33267,1634.00000,5201.00000
"19475",150.7354,-33.6213,843.00000,17.33267,1634.00000,5201.00000
"19477",150.73577,-33.62083,843.00000,17.33267,1634.00000,5201.00000
"19479",150.72268,-33.61517,843.00000,17.33267,1627.00000,5223.00000
"19481",150.72482,-33.61583,843.00000,17.33267,1627.00000,5223.00000
"19483",150.72493,-33.61353,843.00000,17.33267,1627.00000,5223.00000
"19485",150.72975,-33.61285,843.00000,17.33267,1637.00000,5155.00000
"19487",150.7304,-33.60465,843.00000,17.33267,1629.00000,5173.00000
"19489",150.7298,-33.60518,843.00000,17.33267,1629.00000,5173.00000
"19491",150.73035,-33.60617,843.00000,17.33267,1629.00000,5173.00000
"19493",150.73138,-33.60942,843.00000,17.33267,1637.00000,5155.00000
"19495",150.7324,-33.60955,843.00000,17.33267,1637.00000,5155.00000
"19497",150.7254,-33.60897,843.00000,17.33267,1637.00000,5155.00000
"19499",150.7284,-33.6113,843.00000,17.33267,1637.00000,5155.00000
"19501",150.72577,-33.61158,843.00000,17.33267,1637.00000,5155.00000
"19503",150.72258,-33.60885,843.00000,17.33267,1627.00000,5223.00000
"19505",150.72878,-33.6145,843.00000,17.33267,1637.00000,5155.00000
"19507",150.71983,-33.61007,843.00000,17.33267,1627.00000,5223.00000
"19511",150.72095,-33.61255,843.00000,17.33267,1627.00000,5223.00000
"19515",150.72173,-33.61572,843.00000,17.33267,1627.00000,5223.00000
"19517",150.73283,-33.61737,843.00000,17.33267,1636.00000,5180.00000
"401548",150.73224,-34.04879,904.00000,16.97150,1609.00000,5565.00000
"401549",150.73213,-34.0494,904.00000,16.97150,1609.00000,5565.00000
"401550",150.73091,-34.0494,904.00000,16.97150,1609.00000,5565.00000
"401551",150.73294,-34.0492,904.00000,16.97150,1609.00000,5565.00000
"401552",150.86621,-33.77004,879.00000,17.55200,1654.00000,5277.00000
"401553",150.73021,-34.04907,904.00000,16.97150,1609.00000,5565.00000
"401554",150.85921,-33.77502,879.00000,17.55200,1639.00000,5325.00000
"401555",150.86093,-33.77386,879.00000,17.55200,1654.00000,5277.00000
"401556",150.88248,-33.61367,906.00000,17.16950,1606.00000,5633.00000
"401557",150.87872,-33.61544,906.00000,17.16950,1606.00000,5633.00000
"401558",150.87895,-33.61405,906.00000,17.16950,1606.00000,5633.00000
"401559",150.79556,-33.65126,856.00000,17.35300,1642.00000,5224.00000
"401560",150.88022,-33.61179,906.00000,17.16950,1606.00000,5633.00000
"401561",150.88182,-33.60955,906.00000,17.16950,1606.00000,5633.00000
"401562",150.87949,-33.61308,906.00000,17.16950,1606.00000,5633.00000
"401563",150.75069,-33.67481,857.00000,17.38017,1618.00000,5314.00000
"401564",150.71494,-33.69629,859.00000,17.31983,1627.00000,5302.00000
"401565",150.71541,-33.69687,859.00000,17.31983,1627.00000,5302.00000
"401566",150.72525,-33.69566,859.00000,17.31983,1626.00000,5274.00000
"401567",150.72144,-33.69329,859.00000,17.31983,1625.00000,5286.00000
"401568",150.75291,-33.67646,857.00000,17.38017,1623.00000,5334.00000
"401569",151.1588,-33.73661,1297.00000,16.86283,1520.00000,8735.00000
"401570",151.15686,-33.73623,1297.00000,16.86283,1526.00000,8718.00000
"401571",151.06242,-33.75353,1105.00000,17.37933,1582.00000,7147.00000
"401572",150.74571,-33.6547,846.00000,17.26983,1619.00000,5235.00000
"401573",151.15628,-33.7359,1297.00000,16.86283,1526.00000,8718.00000
"401574",151.155,-33.7375,1297.00000,16.86283,1526.00000,8718.00000
"401575",150.74469,-33.65388,846.00000,17.26983,1619.00000,5235.00000
"401576",150.80072,-33.65294,856.00000,17.35300,1630.00000,5300.00000
"401577",150.79839,-33.65123,856.00000,17.35300,1642.00000,5224.00000
"401578",150.74464,-33.65332,846.00000,17.26983,1619.00000,5235.00000
"401579",150.74562,-33.65373,846.00000,17.26983,1619.00000,5235.00000
"401580",151.05623,-33.7498,1166.00000,16.93017,1575.00000,7323.00000
"401581",151.10703,-33.73052,1218.00000,16.91033,1537.00000,8077.00000
"401582",151.10237,-33.73046,1218.00000,16.91033,1537.00000,8077.00000
"401583",151.14209,-33.7347,1297.00000,16.86283,1527.00000,8614.00000
"401584",151.04044,-33.74775,1096.00000,17.08650,1584.00000,6973.00000
"401585",151.03778,-33.74152,1096.00000,17.08650,1571.00000,7300.00000
"401586",150.66628,-33.80072,889.00000,16.79700,1611.00000,5329.00000
"401587",150.67838,-33.80283,863.00000,17.01250,1621.00000,5333.00000
"401588",150.67108,-33.79696,863.00000,17.01250,1625.00000,5290.00000
"401589",150.67021,-33.79639,863.00000,17.01250,1625.00000,5290.00000
"401590",150.67038,-33.8003,863.00000,17.01250,1624.00000,5275.00000
"401591",151.03645,-33.74079,1096.00000,17.08650,1571.00000,7300.00000
"401592",151.03748,-33.74123,1096.00000,17.08650,1571.00000,7300.00000
"401593",151.03748,-33.74244,1096.00000,17.08650,1584.00000,6973.00000
"401594",151.06241,-33.74088,1166.00000,16.93017,1561.00000,7569.00000
"401595",151.13336,-33.73914,1297.00000,16.86283,1531.00000,8533.00000
"401596",150.62592,-33.5947,935.00000,16.64550,1529.00000,7229.00000
"401598",150.56583,-33.5267,1227.00000,14.73367,1449.00000,8417.00000
"401600",150.36462,-33.5788,1260.00000,12.51567,1342.00000,9487.00000
"401602",150.02722,-33.2204,799.00000,12.74383,1459.00000,5468.00000
"401604",150.13972,-33.3294,943.00000,11.79633,1305.00000,7668.00000
"401606",150.25119,-33.311,1058.00000,11.95683,1306.00000,8158.00000
"401608",150.31919,-33.6479,1312.00000,12.17317,1316.00000,10272.00000
"401610",150.45642,-33.705,1233.00000,13.73667,1393.00000,8859.00000
"401612",150.6561,-34.5669,1416.00000,14.16400,1424.00000,9376.00000
"401614",150.84319,-34.402,1401.00000,16.11083,1485.00000,9377.00000
"401616",150.84216,-34.4029,1401.00000,16.11083,1485.00000,9377.00000
"401618",150.84111,-34.4036,1401.00000,16.11083,1440.00000,9842.00000
"401620",151.03063,-34.1485,1252.00000,16.31183,1465.00000,8398.00000
"401622",151.03944,-33.7464,1096.00000,17.08650,1584.00000,6973.00000
"401624",151.28383,-33.5857,1303.00000,16.94905,1488.00000,8809.00000
"401626",151.3333,-33.3731,1234.00000,16.76867,1499.00000,8392.00000
"401628",151.2917,-33.2644,1174.00000,16.77100,1463.00000,8083.00000
"401630",152.3272,-32.5136,1205.00000,18.06754,1568.00000,7694.00000
"401632",151.68166,-32.1227,1359.00000,14.15883,1339.00000,10348.00000
"401634",151.8161,-31.9817,1264.00000,15.62800,1479.00000,8923.00000
"401636",152.9878,-30.8367,1408.00000,18.82135,1643.00000,8596.00000
"401638",152.989,-30.8315,1434.00000,18.85814,1647.00000,8578.00000
"401640",153.0019,-30.6341,1494.00000,19.14514,1663.00000,9114.00000
"401642",152.9722,-30.3214,1836.00000,17.56517,1548.00000,11935.00000
"401644",152.79508,-30.361,1924.00000,15.05817,1383.00000,14236.00000
"401646",152.79378,-30.362,1924.00000,15.05817,1383.00000,14236.00000
"401648",152.73001,-30.3665,1860.00000,15.34583,1408.00000,13457.00000
"401650",152.73093,-30.3655,1860.00000,15.34583,1408.00000,13457.00000
"401652",150.78452,-31.9004,830.00000,15.78867,1655.00000,4807.00000
"401654",150.26694,-32.45,674.00000,16.61167,1692.00000,3911.00000
"401656",150.26933,-32.3984,652.00000,16.80150,1700.00000,3745.00000
"401658",150.27246,-32.4029,652.00000,16.80150,1700.00000,3828.00000
"401660",150.22814,-33.0839,696.00000,15.45150,1613.00000,4251.00000
"401662",148.36305,-32.2394,588.00000,17.49000,1917.00000,3086.00000
"401664",148.03667,-31.9733,527.00000,17.82750,2006.00000,2666.00000
"401666",147.20875,-31.5209,509.00000,18.80800,2092.00000,2413.00000
"401668",146.50365,-31.5616,420.00000,18.25750,2099.00000,1971.00000
"401669",145.79996,-31.5109,391.00000,18.65117,2139.00000,1822.00000
"401670",144.18282,-31.4914,268.00000,19.62200,2330.00000,1145.00000
"401672",144.18963,-31.4869,268.00000,19.62200,2328.00000,1151.00000
"401673",144.24699,-31.6086,269.00000,19.72200,2345.00000,1159.00000
"401675",144.20115,-31.628,277.00000,19.70817,2362.00000,1160.00000
"401677",144.36377,-31.3179,258.00000,19.87383,2347.00000,1099.00000
"401679",144.36696,-31.3325,258.00000,19.87383,2346.00000,1103.00000
"7035",134.685717,-29.002033,173.00000,20.25600,3031.00000,577.00000
"7063",123.7349,-17.507017,628.00000,27.86000,2870.00000,2187.00000
"7069",118.08065,-22.57065,415.00000,23.90033,3137.00000,1325.00000
"7075",120.546167,-28.050517,256.00000,20.78433,2853.00000,893.00000
"7077",120.545317,-28.053145,256.00000,20.78433,2853.00000,893.00000
"7081",121.062283,-30.4051,286.00000,18.66783,2458.00000,1167.00000
"7083",116.413633,-32.820033,744.00000,16.38217,1990.00000,3708.00000
"7085",116.4591,-32.588867,684.00000,15.77950,1947.00000,3635.00000
"7091",126.9831,-31.863317,237.00000,17.96267,2302.00000,1033.00000
"7093",130.993683,-31.40915,208.00000,17.62950,2196.00000,946.00000
"7826",150.759602,-35.141945,1245.00000,16.74881,,0.00000
"7827",150.756877,-35.128092,1245.00000,16.74881,1471.00000,8387.00000
"7829",150.753682,-35.15369,1245.00000,16.74881,1462.00000,8551.00000
"7831",150.735271,-35.15304,1251.00000,16.54208,1450.00000,8723.00000
"7833",150.70756,-35.138023,1226.00000,16.52183,1470.00000,8335.00000
"7835",150.694532,-35.198355,1253.00000,16.54643,1456.00000,8882.00000
"7837",150.725061,-35.162594,1251.00000,16.54208,1433.00000,8994.00000
"7839",150.658375,-35.128049,1198.00000,16.58450,1471.00000,8213.00000
"7841",150.68313,-35.139253,1226.00000,16.52183,1467.00000,8297.00000
"7843",150.648699,-35.151228,1198.00000,16.58450,1462.00000,8209.00000
"7845",150.636957,-35.15914,1198.00000,16.58450,1464.00000,8212.00000
"7847",150.613597,-35.157302,1181.00000,16.62883,1477.00000,8068.00000
"7849",150.737989,-35.141282,1251.00000,16.54208,,0.00000
"7851",150.686346,-35.149699,1226.00000,16.52183,1461.00000,8416.00000
"7853",150.673125,-35.163004,1226.00000,16.52183,1462.00000,8302.00000
"7855",150.666674,-35.136747,1226.00000,16.52183,1470.00000,8222.00000
"7857",150.632653,-35.161814,1198.00000,16.58450,1465.00000,8197.00000
"7882",118.76062,-34.11782,417.00000,15.64350,1738.00000,2399.00000
"7886",118.761527,-34.117182,417.00000,15.64350,1738.00000,2399.00000
"7888",148.80225,-35.431,1010.00000,10.14133,1257.00000,8034.00000
"7892",118.720502,-34.240089,423.00000,16.03650,1720.00000,2459.00000
"7894",118.721042,-34.241561,423.00000,16.03650,1720.00000,2459.00000
"7896",118.852825,-34.086318,418.00000,15.89967,1763.00000,2347.00000
"7898",118.851229,-34.084868,418.00000,15.89967,1763.00000,2347.00000
"7904",118.868672,-34.077238,416.00000,15.80283,1770.00000,2355.00000
"7910",118.860087,-34.093906,418.00000,15.89967,1762.00000,2354.00000
"7912",118.861484,-34.094451,418.00000,15.89967,1762.00000,2354.00000
"7916",118.730286,-34.303744,451.00000,16.03317,1715.00000,2600.00000
"7918",118.731283,-34.303255,451.00000,16.03317,1715.00000,2600.00000
"8076",115.211567,-30.181567,564.00000,18.98217,2240.00000,2530.00000
"8078",115.213433,-30.171067,564.00000,18.98217,2237.00000,2539.00000
"8084",115.258517,-30.111883,547.00000,19.29333,2301.00000,2376.00000
"8088",115.02035,-30.04105,532.00000,19.86500,2226.00000,2393.00000
"8090",115.0423,-30.0489,545.00000,20.01950,2260.00000,2388.00000
"8108",119.161556,-33.856778,415.00000,15.46333,1791.00000,2316.00000
"8114",119.406333,-34.087694,495.00000,16.09017,1739.00000,2810.00000
"8116",119.575694,-34.167694,542.00000,16.26111,1641.00000,3264.00000
"8118",119.394722,-34.339778,611.00000,16.06100,1617.00000,3733.00000
"8120",119.304,-34.216472,539.00000,16.17100,1726.00000,3117.00000
"8122",119.425444,-34.192167,545.00000,15.90417,1675.00000,3265.00000
"8124",119.341278,-34.381083,638.00000,16.14253,1666.00000,3750.00000
"8126",119.434528,-33.809528,429.00000,15.68333,1784.00000,2370.00000
"8128",119.722139,-33.728389,434.00000,15.87967,1815.00000,2417.00000
"8130",119.761694,-33.688361,424.00000,15.86900,1817.00000,2333.00000
"8132",119.999667,-33.931333,494.00000,16.42458,1737.00000,2819.00000
"8142",149.01165,-35.874817,735.00000,9.38300,1281.00000,5431.00000
"8144",149.0076,-35.881,775.00000,8.96483,1269.00000,5693.00000
"8146",149.0083,-35.8811,775.00000,8.96483,1269.00000,5693.00000
"8148",149.0097,-35.876683,775.00000,8.96483,1267.00000,5719.00000
"8150",149.01025,-35.876933,775.00000,8.96483,1267.00000,5719.00000
"8152",149.01088,-35.874867,735.00000,9.38300,1281.00000,5431.00000
"8154",131.0423,-25.351,315.00000,21.55917,3035.00000,1021.00000
"8158",131.0516,-25.3504,315.00000,21.55917,3041.00000,1032.00000
"8160",131.041,-25.351,312.00000,21.49267,3041.00000,1029.00000
"8162",131.0343,-25.3523,312.00000,21.49267,3041.00000,1029.00000
"8164",131.0213,-25.3457,312.00000,21.49267,3045.00000,1024.00000
"8268",141.99678,-35.12282,348.00000,16.51983,2060.00000,1698.00000
"8455",131.085,-25.3119,320.00000,21.64483,3030.00000,1049.00000
"8457",131.084,-25.3118,320.00000,21.64483,3030.00000,1049.00000
"8459",130.92864,-25.2875,307.00000,21.67333,3032.00000,1015.00000
"8461",130.756,-25.2713,322.00000,21.89900,3071.00000,1045.00000
"8487",132.373833,-12.64892,1561.00000,27.53367,2258.00000,6932.00000
"8489",132.633355,-12.620676,1569.00000,27.83467,2256.00000,6922.00000
"8491",132.633712,-12.620788,1569.00000,27.83467,2256.00000,6922.00000
"8493",132.59483,-12.92929,1451.00000,27.86717,2263.00000,6423.00000
"8495",132.63072,-12.90283,1466.00000,27.86250,2267.00000,6469.00000
"8497",132.27107,-13.553881,1443.00000,26.87167,2281.00000,6378.00000
"8507",132.458238,-13.516466,1382.00000,27.10100,2297.00000,5687.00000
"8509",132.453114,-13.521618,1382.00000,27.10100,2299.00000,5736.00000
"8511",132.445246,-13.518304,1382.00000,27.10100,2294.00000,5965.00000
"8513",132.336477,-13.296442,1322.00000,27.64783,2281.00000,5749.00000
"8515",132.79813,-12.82329,1463.00000,27.92700,2267.00000,6477.00000
"8517",132.78996,-12.8649,1446.00000,27.86100,2257.00000,6430.00000
"8519",132.81905,-12.86537,1458.00000,27.80667,2252.00000,6517.00000
"8521",132.81381,-12.67631,1512.00000,28.07450,2248.00000,6749.00000
"8523",132.84315,-12.70607,1500.00000,28.04983,2255.00000,6629.00000
"8525",132.948521,-12.430474,1529.00000,27.94283,2239.00000,6835.00000
"8527",132.941958,-12.43375,1529.00000,27.94283,2241.00000,6820.00000
"8529",132.48192,-12.67332,1546.00000,27.49150,2240.00000,6927.00000
"8531",132.479208,-12.678589,1546.00000,27.49150,2242.00000,6889.00000
"9430",148.950867,-35.601567,851.00000,9.88550,1257.00000,6821.00000
"9434",148.932083,-35.6055,851.00000,9.88550,1313.00000,6501.00000
"9436",148.929694,-35.607278,851.00000,9.88550,1313.00000,6501.00000
"9438",148.785083,-35.44535,1023.00000,9.49400,1240.00000,8154.00000
"9440",148.7826,-35.4502,1023.00000,9.49400,1214.00000,8272.00000
"9442",148.78455,-35.4463,1023.00000,9.49400,1240.00000,8154.00000
"9444",148.8305,-35.3365,1031.00000,10.04867,1302.00000,7929.00000
"9446",148.80014,-35.3556,1031.00000,10.04867,1283.00000,8034.00000
"9448",148.8234,-35.3952,1018.00000,9.81967,1261.00000,7965.00000
"9450",148.8271,-35.3941,1018.00000,9.81967,1272.00000,7916.00000
"9452",148.81485,-35.3929,1018.00000,9.81967,1266.00000,7960.00000
"9456",148.7763,-35.5252,1013.00000,7.62267,1108.00000,9460.00000
"9458",148.81105,-35.3912,1018.00000,9.81967,1242.00000,8123.00000
"9460",148.84465,-35.371917,999.00000,11.27400,1305.00000,7705.00000
"9462",148.7989,-35.43457,1010.00000,10.14133,1252.00000,8092.00000
"9464",148.9125,-35.585983,880.00000,9.16750,1298.00000,6745.00000
"9466",148.9085,-35.59065,880.00000,9.16750,1298.00000,6745.00000
"9468",148.783217,-35.423783,1023.00000,9.49400,1279.00000,7997.00000
"9484",138.2613,-35.60827,812.00000,14.19900,1469.00000,5701.00000
"9486",138.6902,-35.27211,868.00000,14.18417,1591.00000,5606.00000
"9488",138.0327,-32.82851,429.00000,17.23517,2264.00000,1898.00000
"9490",137.9574,-32.30339,419.00000,16.90967,2333.00000,1881.00000
"9492",138.1363,-32.74842,424.00000,16.16000,2110.00000,2335.00000
"9494",138.6038,-33.9142,606.00000,14.54933,1849.00000,3433.00000
"9496",138.8613,-34.60901,572.00000,15.78833,1887.00000,3210.00000
"9498",139.0061,-34.57692,666.00000,14.06317,1748.00000,4130.00000
"9500",138.9086,-34.6831,702.00000,14.76800,1774.00000,4024.00000
"9502",138.7083,-34.88076,670.00000,15.59117,1799.00000,3729.00000
"9504",138.727,-34.93343,1062.00000,13.47367,1566.00000,6920.00000
"9506",137.9544,-32.32096,419.00000,16.90967,2273.00000,2054.00000
"9508",138.7976,-30.77565,346.00000,15.72617,2431.00000,1447.00000
"9510",138.5673,-31.32774,330.00000,17.39933,2528.00000,1186.00000
"9512",138.5946,-31.54388,400.00000,15.62367,2344.00000,1693.00000
"9514",140.7258,-33.97432,265.00000,17.66117,2219.00000,1216.00000
"9522",140.7273,-33.97274,265.00000,17.66117,2219.00000,1216.00000
"9524",140.7095,-34.01891,262.00000,17.68533,2220.00000,1188.00000
"9526",140.7615,-34.04459,265.00000,17.58433,2195.00000,1206.00000
"9528",140.7596,-34.04319,265.00000,17.58433,2195.00000,1206.00000
"9530",140.7186,-33.9569,270.00000,17.46267,2204.00000,1233.00000
"9567",145.895516,-41.532403,2343.00000,7.36600,921.00000,25372.00000
"9569",145.895516,-41.533383,2343.00000,7.36600,919.00000,25601.00000
"9571",145.881418,-41.555433,2458.00000,7.28467,927.00000,25379.00000
"9576",146.3034,-42.0436,1438.00000,6.69100,946.00000,15140.00000
"9586",148.029095,-41.183047,1199.00000,9.63867,998.00000,12031.00000
"9588",148.032013,-41.183515,1199.00000,9.63867,998.00000,12042.00000
